Year,Yearly_Average_HPI,Lowest_Quarterly_HPI,Highest_Quarterly_HPI
1984,120.98,119.45,122.74
1985,127.59,124.48,130.51
1986,136.43,132.22,141.06
1987,150.74,144.68,157.18
1988,174.42,162.95,187.38
1989,211.06,196.13,224.57
1990,228.47,227.32,229.98
1991,227.77,227.0,228.66
1992,224.96,222.58,227.47
1993,216.48,214.13,219.13
1994,205.92,200.95,212.01
1995,202.12,199.61,203.84
1996,201.62,200.52,203.48
1997,206.96,202.5,212.23
1998,224.42,216.86,231.81
1999,242.34,235.31,249.97
2000,272.74,260.84,285.4
2001,307.54,296.44,316.3
2002,341.88,324.75,358.59
2003,384.54,366.88,411.1
2004,471.99,424.37,515.87
2005,583.03,538.45,625.21
2006,642.74,638.23,646.17
2007,607.91,575.2,633.65
2008,486.43,444.38,542.98
2009,420.98,410.99,440.38
2010,408.29,405.72,410.23
2011,386.98,384.89,391.2
2012,388.02,381.01,398.86
2013,435.47,407.27,461.72
2014,487.4,471.35,499.86
2015,521.99,505.09,536.88
2016,558.9,543.9,572.48
2017,595.47,578.43,610.8
2018,634.12,621.26,641.11
2019,654.66,645.21,662.96
2020,682.49,669.23,698.99
2021,778.5,718.58,833.31
2022,897.18,867.02,919.84
2023,907.29,885.58,918.72
