Table 1
date,income,price,Mortgage,,,
1984,25290,120.98,13.878,,,
1985,26980,127.48,12.43,,,
1986,29010,132.22,10.187,,,
1987,30150,144.68,10.213,,,
1988,30290,162.95,10.342,,,
1989,33010,196.13,10.319,,,
1990,33290,227.32,10.129,,,
1991,33660,227.0,9.247,,,
1992,34900,222.58,8.39,,,
1993,34070,214.13,7.315,,,
1994,35330,200.95,8.381,,,
1995,37010,199.61,7.935,,,
1996,38810,200.52,7.806,,,
1997,39690,202.5,7.599,,,
1998,40930,216.86,6.943,,,
1999,43630,235.31,7.44,,,
2000,46820,260.84,8.053,,,
2001,47260,296.44,6.968,,,
2002,47440,324.75,6.537,,,
2003,49300,366.88,5.827,,,
2004,49220,424.37,5.839,,,
2005,51760,538.45,5.867,,,
2006,55320,638.23,6.413,,,
2007,55730,575.2,6.337,,,
2008,57010,444.38,6.027,,,
2009,56130,410.99,5.037,,,
2010,54280,405.72,4.69,,,
2011,53370,384.89,4.448,,,
2012,57020,381.01,3.657,,,
2013,60790,407.27,3.976,,,
2014,60490,471.35,4.169,,,
2015,63640,505.09,3.851,,,
2016,66640,543.9,3.654,,,
2017,70040,578.43,3.99,,,
2018,70490,621.26,4.545,,,
2019,78100,645.21,3.936,,,
2020,77650,669.23,3.112,,,
2021,81580,718.58,2.958,,,
2022,85300,867.02,5.344,,,
2023,89870,885.58,6.807,,,
