observation_date,MEHOINUSCAA646N
1984-01-01,25290
1985-01-01,26980
1986-01-01,29010
1987-01-01,30150
1988-01-01,30290
1989-01-01,33010
1990-01-01,33290
1991-01-01,33660
1992-01-01,34900
1993-01-01,34070
1994-01-01,35330
1995-01-01,37010
1996-01-01,38810
1997-01-01,39690
1998-01-01,40930
1999-01-01,43630
2000-01-01,46820
2001-01-01,47260
2002-01-01,47440
2003-01-01,49300
2004-01-01,49220
2005-01-01,51760
2006-01-01,55320
2007-01-01,55730
2008-01-01,57010
2009-01-01,56130
2010-01-01,54280
2011-01-01,53370
2012-01-01,57020
2013-01-01,60790
2014-01-01,60490
2015-01-01,63640
2016-01-01,66640
2017-01-01,70040
2018-01-01,70490
2019-01-01,78100
2020-01-01,77650
2021-01-01,81580
2022-01-01,85300
2023-01-01,89870
2024-01-01,100600
